grade,user_name,date,word,name,row_n,id,gender,species,birthday,personality,song,phrase,full_id,url,average_grade
0,Outryder86,2020-03-20,spike,spike,416,spike,male,rhino,6-17,cranky,NA,punk,villager-spike,https://villagerdb.com/images/villagers/thumb/spike.de637c8.png,0
0,ElaineB,2020-03-20,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
8,ThornBattleborn,2020-03-20,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
4,KC1994,2020-03-21,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
4,KC1994,2020-03-21,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
2,melkorsmaia,2020-03-21,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
2,melkorsmaia,2020-03-21,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
0,ThisGameSucks_1,2020-03-21,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
8,buffmckagan,2020-03-22,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
8,buffmckagan,2020-03-22,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Reypipas,2020-03-22,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Reypipas,2020-03-22,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Thrazghul,2020-03-23,drift,drift,143,drift,male,frog,10-9,jock,K.K. Country,brah,villager-drift,https://villagerdb.com/images/villagers/thumb/drift.8959814.png,0
5,MaeBeaInTheWood,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,BuckyMcDonuts,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
9,Richsince95,2020-03-24,cherry,cherry,95,cherry,female,dog,5-11,uchi,K.K. Fusion,what what,villager-cherry,https://villagerdb.com/images/villagers/thumb/cherry.d4d77df.png,6.166666666666667
10,Divergente98,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Odande,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Odande,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,Robert_C,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,Cutsupreme1,2020-03-24,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
10,Medix94,2020-03-24,fauna,fauna,160,fauna,female,deer,3-26,normal,K.K. Stroll,dearie,villager-fauna,https://villagerdb.com/images/villagers/thumb/fauna.c2822f0.png,5.5
9,Torchward,2020-03-24,tad,tad,434,tad,male,frog,8-3,jock,Wandering,sluuuurp,villager-tad,https://villagerdb.com/images/villagers/thumb/tad.e747734.png,9.666666666666666
0,Rase,2020-03-24,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
0,AlwayzB,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,BobTheCat,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,BobTheCat,2020-03-24,biff,biff,46,biff,male,hippo,3-29,jock,The K. Funk,squirt,villager-biff,https://villagerdb.com/images/villagers/thumb/biff.ab45180.png,10
4,grancesar,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
9,Joleonel2,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
9,Admiralpdxtr,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,santoryu,2020-03-24,stitches,stitches,424,stitches,male,cub,2-10,lazy,K.K. Lullaby,stuffin',villager-stitches,https://villagerdb.com/images/villagers/thumb/stitches.f89edfb.png,10
10,santoryu,2020-03-24,stitches,stitches,424,stitches,male,cub,2-10,lazy,K.K. Lullaby,stuffin',villager-stitches,https://villagerdb.com/images/villagers/thumb/stitches.f89edfb.png,10
3,Crakylalilulelo,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Lauren9796,2020-03-24,ed,ed,144,ed,male,horse,9-16,smug,K.K. Ballad,greenhorn,villager-ed,https://villagerdb.com/images/villagers/thumb/ed.10248fb.png,2.5
2,Veiled,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
2,Veiled,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Gek98,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,Gek98,2020-03-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
10,ZWiz25,2020-03-24,bones,bones,58,bones,male,dog,8-4,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png,3.857142857142857
10,ZWiz25,2020-03-24,bones,bones,58,bones,male,dog,8-4,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png,3.857142857142857
9,SnackcakeUSA,2020-03-24,flora,flora,168,flora,female,ostrich,2-9,peppy,K.K. Flamenco,pinky,villager-flora,https://villagerdb.com/images/villagers/thumb/flora.b45e15f.png,9
0,NicolaLucy,2020-03-24,marshal,marshal,281,marshal,male,squirrel,9-29,smug,Space K.K.,sulky,villager-marshal,https://villagerdb.com/images/villagers/thumb/marshal.20eb375.png,0
0,NicolaLucy,2020-03-24,marshal,marshal,281,marshal,male,squirrel,9-29,smug,Space K.K.,sulky,villager-marshal,https://villagerdb.com/images/villagers/thumb/marshal.20eb375.png,0
1,Estebanmoro,2020-03-24,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
9,Sensey_DARJ,2020-03-24,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
9,CkRules,2020-03-24,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
1,imreallydsapntd,2020-03-24,bones,bones,58,bones,male,dog,8-4,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png,3.857142857142857
1,imreallydsapntd,2020-03-24,bones,bones,58,bones,male,dog,8-4,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png,3.857142857142857
10,GabsLidDav,2020-03-25,tad,tad,434,tad,male,frog,8-3,jock,Wandering,sluuuurp,villager-tad,https://villagerdb.com/images/villagers/thumb/tad.e747734.png,9.666666666666666
10,GabsLidDav,2020-03-25,tad,tad,434,tad,male,frog,8-3,jock,Wandering,sluuuurp,villager-tad,https://villagerdb.com/images/villagers/thumb/tad.e747734.png,9.666666666666666
8,Namine_Zenitram,2020-03-25,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
8,Namine_Zenitram,2020-03-25,snooty,snooty,413,snooty,female,anteater,10-24,snooty,Imperial K.K.,snifffff,villager-snooty,https://villagerdb.com/images/villagers/thumb/snooty.2cda89f.png,8
10,Austen989,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,Austen989,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,Fakit,2020-03-25,rod,rod,385,rod,male,mouse,8-14,jock,K.K. March,ace,villager-rod,https://villagerdb.com/images/villagers/thumb/rod.12fb455.png,2.4
9,writeforurlife,2020-03-25,bob,bob,56,bob,male,cat,1-1,lazy,K.K. Ragtime,pthhhpth,villager-bob,https://villagerdb.com/images/villagers/thumb/bob.aead5ef.png,9
0,andrea3,2020-03-25,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
9,HowDoYouPlay,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
9,JoeQ_,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,ZinniaWish,2020-03-25,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
10,ZinniaWish,2020-03-25,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
10,ZinniaWish,2020-03-25,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
4,ShoujoWitch,2020-03-25,chief,chief,99,chief,male,wolf,12-19,cranky,DJ K.K.,harrumph,villager-chief,https://villagerdb.com/images/villagers/thumb/chief.b7590e2.png,4
0,BlazedIon,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
9,SSWAGNER,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
9,SenpaiJake,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
9,SenpaiJake,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,acfanND,2020-03-25,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
0,beesontoas,2020-03-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,hrrrnnng,2020-03-26,rod,rod,385,rod,male,mouse,8-14,jock,K.K. March,ace,villager-rod,https://villagerdb.com/images/villagers/thumb/rod.12fb455.png,2.4
0,hrrrnnng,2020-03-26,bud,bud,71,bud,male,lion,8-8,jock,K.K. Ska,maaan,villager-bud,https://villagerdb.com/images/villagers/thumb/bud.5c88e55.png,0
0,hrrrnnng,2020-03-26,rod,rod,385,rod,male,mouse,8-14,jock,K.K. March,ace,villager-rod,https://villagerdb.com/images/villagers/thumb/rod.12fb455.png,2.4
2,TantheTaxman,2020-03-26,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
1,LPDani,2020-03-26,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
1,Clampo502,2020-03-26,ed,ed,144,ed,male,horse,9-16,smug,K.K. Ballad,greenhorn,villager-ed,https://villagerdb.com/images/villagers/thumb/ed.10248fb.png,2.5
0,NateWheeler,2020-03-26,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,NateWheeler,2020-03-26,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,NateWheeler,2020-03-26,rod,rod,385,rod,male,mouse,8-14,jock,K.K. March,ace,villager-rod,https://villagerdb.com/images/villagers/thumb/rod.12fb455.png,2.4
5,Poochingus,2020-03-26,static,static,420,static,male,squirrel,7-9,cranky,Surfin' K.K.,krzzt,villager-static,https://villagerdb.com/images/villagers/thumb/static.6a22c41.png,3
9,ZeoN,2020-03-26,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
9,ZeoN,2020-03-26,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
9,ZeoN,2020-03-26,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
9,ZeoN,2020-03-26,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
1,clarth2,2020-03-26,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Ray99,2020-03-26,bones,bones,58,bones,male,dog,8-4,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png,3.857142857142857
0,Ray99,2020-03-26,wade,wade,467,wade,male,penguin,10-30,lazy,K.K. Jongara,so it goes,villager-wade,https://villagerdb.com/images/villagers/thumb/wade.a3f570e.png,0
0,KrolMyruh,2020-03-26,ed,ed,144,ed,male,horse,9-16,smug,K.K. Ballad,greenhorn,villager-ed,https://villagerdb.com/images/villagers/thumb/ed.10248fb.png,2.5
0,KrolMyruh,2020-03-26,ed,ed,144,ed,male,horse,9-16,smug,K.K. Ballad,greenhorn,villager-ed,https://villagerdb.com/images/villagers/thumb/ed.10248fb.png,2.5
10,bruhmoment2,2020-03-26,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,Nowice,2020-03-26,beau,beau,35,beau,male,deer,4-5,lazy,Mountain Song,saltlick,villager-beau,https://villagerdb.com/images/villagers/thumb/beau.b905798.png,10
9,Happyspelling,2020-03-27,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
9,Happyspelling,2020-03-27,judy,judy,231,judy,female,cub,3-10,snooty,NA,myohmy,villager-judy,https://villagerdb.com/images/villagers/thumb/judy.15d7848.png,9
9,Happyspelling,2020-03-27,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
9,Happyspelling,2020-03-27,cyd,cyd,124,cyd,male,elephant,6-9,cranky,NA,rockin',villager-cyd,https://villagerdb.com/images/villagers/thumb/cyd.b0f5164.png,9
9,Happyspelling,2020-03-27,raymond,raymond,370,raymond,male,cat,10-1,smug,NA,crisp,villager-raymond,https://villagerdb.com/images/villagers/thumb/raymond.0346dd7.png,5.666666666666667
1,stana149,2020-03-27,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
1,Happy_Specs,2020-03-27,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
3,Anamary,2020-03-27,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
3,southoz,2020-03-28,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Draconequis,2020-03-28,boots,boots,61,boots,male,alligator,8-7,jock,K.K. Rally,munchie,villager-boots,https://villagerdb.com/images/villagers/thumb/boots.5dd3706.png,0.25
1,rbj_,2020-03-28,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
1,rbj_,2020-03-28,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
3,exycited,2020-03-28,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
5,Gnue,2020-03-28,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
