grade,user_name,date,word,name,row_n,id,gender,species,birthday,personality,song,phrase,full_id,url,average_grade
8,Elmeromero,2020-03-29,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
8,Elmeromero,2020-03-29,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
10,Anicrofan1107,2020-03-29,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
2,Sparkyc10,2020-03-29,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,bsas,2020-03-29,apple,apple,21,apple,female,hamster,9-24,peppy,I Love You,cheekers,villager-apple,https://villagerdb.com/images/villagers/thumb/apple.6b49f8c.png,4
2,BigDogGamer,2020-03-29,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,inochebuena,2020-03-29,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,TGS875,2020-03-29,drift,drift,143,drift,male,frog,10-9,jock,K.K. Country,brah,villager-drift,https://villagerdb.com/images/villagers/thumb/drift.8959814.png,0
0,TGS875,2020-03-29,drift,drift,143,drift,male,frog,10-9,jock,K.K. Country,brah,villager-drift,https://villagerdb.com/images/villagers/thumb/drift.8959814.png,0
5,michauko,2020-03-29,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,LuigiCuau,2020-03-30,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
0,fbrz,2020-03-30,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
3,Trex2319,2020-03-30,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
1,K_M-A-Y_,2020-03-31,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
0,Zebracabbage,2020-03-31,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Zebracabbage,2020-03-31,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Poottyt,2020-03-31,pashmina,pashmina,327,pashmina,female,goat,12-26,uchi,K.K. Tango,kidders,villager-pashmina,https://villagerdb.com/images/villagers/thumb/pashmina.8916368.png,0
0,Poottyt,2020-03-31,pashmina,pashmina,327,pashmina,female,goat,12-26,uchi,K.K. Tango,kidders,villager-pashmina,https://villagerdb.com/images/villagers/thumb/pashmina.8916368.png,0
2,WonderTi,2020-03-31,static,static,420,static,male,squirrel,7-9,cranky,Surfin' K.K.,krzzt,villager-static,https://villagerdb.com/images/villagers/thumb/static.6a22c41.png,3
2,WonderTi,2020-03-31,static,static,420,static,male,squirrel,7-9,cranky,Surfin' K.K.,krzzt,villager-static,https://villagerdb.com/images/villagers/thumb/static.6a22c41.png,3
10,Shigaion,2020-04-01,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
0,stonewoodzri,2020-04-01,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,AdamNizz,2020-04-01,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
0,AdamNizz,2020-04-01,cube,cube,119,cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png,5.75
0,Naroyto,2020-04-03,bones,bones,58,bones,male,dog,8-4,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png,3.857142857142857
5,Zylir,2020-04-03,bones,bones,58,bones,male,dog,8-4,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png,3.857142857142857
2,TheTwistedKris,2020-04-04,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
2,Blayz,2020-04-06,rod,rod,385,rod,male,mouse,8-14,jock,K.K. March,ace,villager-rod,https://villagerdb.com/images/villagers/thumb/rod.12fb455.png,2.4
10,LordDoran,2020-04-06,kevin,kevin,240,kevin,male,pig,4-26,jock,K.K. Island,weeweewee,villager-kevin,https://villagerdb.com/images/villagers/thumb/kevin.66db909.png,10
10,LordDoran,2020-04-06,kevin,kevin,240,kevin,male,pig,4-26,jock,K.K. Island,weeweewee,villager-kevin,https://villagerdb.com/images/villagers/thumb/kevin.66db909.png,10
8,EeveeAfterDark,2020-04-07,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
8,EeveeAfterDark,2020-04-07,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
8,EeveeAfterDark,2020-04-07,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
4,JimmyFeckit,2020-04-09,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
1,Tetsujinsei,2020-04-09,chops,chops,100,chops,male,pig,10-13,smug,K.K. Moody,Zoink,villager-chops,https://villagerdb.com/images/villagers/thumb/chops.a5578b5.png,1
1,JazziCat,2020-04-10,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
1,Deklaration,2020-04-10,boots,boots,61,boots,male,alligator,8-7,jock,K.K. Rally,munchie,villager-boots,https://villagerdb.com/images/villagers/thumb/boots.5dd3706.png,0.25
4,Hav0k,2020-04-10,cherry,cherry,95,cherry,female,dog,5-11,uchi,K.K. Fusion,what what,villager-cherry,https://villagerdb.com/images/villagers/thumb/cherry.d4d77df.png,6.166666666666667
4,Hav0k,2020-04-10,cherry,cherry,95,cherry,female,dog,5-11,uchi,K.K. Fusion,what what,villager-cherry,https://villagerdb.com/images/villagers/thumb/cherry.d4d77df.png,6.166666666666667
4,Hav0k,2020-04-10,cherry,cherry,95,cherry,female,dog,5-11,uchi,K.K. Fusion,what what,villager-cherry,https://villagerdb.com/images/villagers/thumb/cherry.d4d77df.png,6.166666666666667
10,TheLittleMelo,2020-04-11,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,TheLittleMelo,2020-04-11,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,TheLittleMelo,2020-04-11,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,Ditobi,2020-04-12,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,Ditobi,2020-04-12,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,Ditobi,2020-04-12,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
10,Ditobi,2020-04-12,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
10,Ditobi,2020-04-12,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,Ditobi,2020-04-12,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
9,DovahK,2020-04-12,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
9,DovahK,2020-04-12,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
10,eldehule,2020-04-12,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
0,lilWindex,2020-04-12,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Martin98765,2020-04-12,lucky,lucky,264,lucky,male,dog,11-4,lazy,K.K. Dirge,rrr-owch,villager-lucky,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,4.555555555555555
10,DeivMoon,2020-04-14,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
1,Force2BRknd,2020-04-15,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
1,Force2BRknd,2020-04-15,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Althrayn,2020-04-15,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Althrayn,2020-04-15,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Clandestien,2020-04-15,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
9,awi,2020-04-16,daisy,daisy,126,daisy,female,dog,11-16,normal,K.K. Soul,bow-WOW,villager-daisy,https://villagerdb.com/images/villagers/thumb/daisy.21f8556.png,9
0,Ingleton,2020-04-16,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Ingleton,2020-04-16,robin,robin,382,robin,female,bird,12-4,snooty,K.K. Bossa,la-di-da,villager-robin,https://villagerdb.com/images/villagers/thumb/robin.e227ada.png,0
4,thatonehomie,2020-04-16,raymond,raymond,370,raymond,male,cat,10-1,smug,NA,crisp,villager-raymond,https://villagerdb.com/images/villagers/thumb/raymond.0346dd7.png,5.666666666666667
4,thatonehomie,2020-04-16,raymond,raymond,370,raymond,male,cat,10-1,smug,NA,crisp,villager-raymond,https://villagerdb.com/images/villagers/thumb/raymond.0346dd7.png,5.666666666666667
0,supersonya22,2020-04-17,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,supersonya22,2020-04-17,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
2,Libits,2020-04-18,lily,lily,255,lily,female,frog,2-4,normal,K.K. Salsa,toady,villager-lily,https://villagerdb.com/images/villagers/thumb/lily.f1d9d64.png,2
2,Libits,2020-04-18,lily,lily,255,lily,female,frog,2-4,normal,K.K. Salsa,toady,villager-lily,https://villagerdb.com/images/villagers/thumb/lily.f1d9d64.png,2
6,NotoriousRPG,2020-04-19,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
6,NotoriousRPG,2020-04-19,cherry,cherry,95,cherry,female,dog,5-11,uchi,K.K. Fusion,what what,villager-cherry,https://villagerdb.com/images/villagers/thumb/cherry.d4d77df.png,6.166666666666667
4,gun661,2020-04-20,bubbles,bubbles,69,bubbles,female,hippo,9-18,peppy,K.K. Stroll,hipster,villager-bubbles,https://villagerdb.com/images/villagers/thumb/bubbles.b385564.png,4
4,gun661,2020-04-20,bubbles,bubbles,69,bubbles,female,hippo,9-18,peppy,K.K. Stroll,hipster,villager-bubbles,https://villagerdb.com/images/villagers/thumb/bubbles.b385564.png,4
3,Froggie,2020-04-21,cookie,cookie,115,cookie,female,dog,6-18,peppy,DJ K.K.,arfer,villager-cookie,https://villagerdb.com/images/villagers/thumb/cookie.cba9a61.png,3
10,avanzo85,2020-04-22,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Tartarus,2020-04-23,boots,boots,61,boots,male,alligator,8-7,jock,K.K. Rally,munchie,villager-boots,https://villagerdb.com/images/villagers/thumb/boots.5dd3706.png,0.25
0,Tartarus,2020-04-23,boots,boots,61,boots,male,alligator,8-7,jock,K.K. Rally,munchie,villager-boots,https://villagerdb.com/images/villagers/thumb/boots.5dd3706.png,0.25
9,BooOfShadows,2020-04-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
9,BooOfShadows,2020-04-24,al,al,6,al,male,gorilla,10-18,lazy,Steep Hill,Ayyeeee,villager-al,https://villagerdb.com/images/villagers/thumb/al.1e17090.png,5.608695652173913
10,RadioReviews,2020-04-25,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
4,Darbi,2020-04-27,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
5,Rav3,2020-04-28,buck,buck,70,buck,male,horse,4-4,jock,My Place,pardner,villager-buck,https://villagerdb.com/images/villagers/thumb/buck.c5ea50f.png,5
5,Rav3,2020-04-28,buck,buck,70,buck,male,horse,4-4,jock,My Place,pardner,villager-buck,https://villagerdb.com/images/villagers/thumb/buck.c5ea50f.png,5
0,Generaljojo,2020-04-28,drift,drift,143,drift,male,frog,10-9,jock,K.K. Country,brah,villager-drift,https://villagerdb.com/images/villagers/thumb/drift.8959814.png,0
0,Generaljojo,2020-04-28,drift,drift,143,drift,male,frog,10-9,jock,K.K. Country,brah,villager-drift,https://villagerdb.com/images/villagers/thumb/drift.8959814.png,0
1,Twilight-Thorn,2020-04-28,fauna,fauna,160,fauna,female,deer,3-26,normal,K.K. Stroll,dearie,villager-fauna,https://villagerdb.com/images/villagers/thumb/fauna.c2822f0.png,5.5
0,Dark_man00,2020-04-28,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,DulceLinux,2020-04-28,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,ArisLink,2020-04-28,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
7,Gemmo,2020-04-28,ed,ed,144,ed,male,horse,9-16,smug,K.K. Ballad,greenhorn,villager-ed,https://villagerdb.com/images/villagers/thumb/ed.10248fb.png,2.5
7,Gemmo,2020-04-28,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
7,Gemmo,2020-04-28,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
7,Gemmo,2020-04-28,ed,ed,144,ed,male,horse,9-16,smug,K.K. Ballad,greenhorn,villager-ed,https://villagerdb.com/images/villagers/thumb/ed.10248fb.png,2.5
7,Gemmo,2020-04-28,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
7,Gemmo,2020-04-28,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
7,Gemmo,2020-04-28,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
10,TehCupcakes,2020-04-29,cherry,cherry,95,cherry,female,dog,5-11,uchi,K.K. Fusion,what what,villager-cherry,https://villagerdb.com/images/villagers/thumb/cherry.d4d77df.png,6.166666666666667
6,IkOzael,2020-04-30,sterling,sterling,422,sterling,male,eagle,12-11,jock,Lucky K.K.,skraaaaw,villager-sterling,https://villagerdb.com/images/villagers/thumb/sterling.fef732a.png,6
0,Eveydude,2020-05-01,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
0,Eveydude,2020-05-01,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
8,Lifeisbellablog,2020-05-02,tom,tom,449,tom,male,cat,12-10,cranky,K.K. Rally,me-YOWZA,villager-tom,https://villagerdb.com/images/villagers/thumb/tom.4168bc1.png,4.059701492537314
8,Lifeisbellablog,2020-05-02,apple,apple,21,apple,female,hamster,9-24,peppy,I Love You,cheekers,villager-apple,https://villagerdb.com/images/villagers/thumb/apple.6b49f8c.png,4
8,Lifeisbellablog,2020-05-02,merengue,merengue,290,merengue,female,rhino,3-19,normal,K.K. Stroll,shortcake,villager-merengue,https://villagerdb.com/images/villagers/thumb/merengue.6609ed1.png,8
1,Pikey17,2020-05-03,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
1,Pikey17,2020-05-03,del,del,129,del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png,7.32
