animal_id,animal_sex,prey_p_month,observed,observed_n
Tommy,m,12.5,hrs_indoors,12.5
Tommy,m,12.5,age_years,11
Athena,f,3,hrs_indoors,7.5
Athena,f,3,age_years,3
Ares,m,0,hrs_indoors,7.5
Ares,m,0,age_years,3
Lola,f,3,hrs_indoors,17.5
Lola,f,3,age_years,10
Maverick,m,3,hrs_indoors,12.5
Maverick,m,3,age_years,7
Coco,f,3,hrs_indoors,12.5
Coco,f,3,age_years,7
Charlie,m,3,hrs_indoors,12.5
Charlie,m,3,age_years,6
Jago,m,17.5,hrs_indoors,7.5
Jago,m,17.5,age_years,2
Morpheus,m,3,hrs_indoors,2.5
Morpheus,m,3,age_years,4
Nettle,f,7.5,hrs_indoors,12.5
Nettle,f,7.5,age_years,4
Meg,f,3,hrs_indoors,12.5
Meg,f,3,age_years,8
Friday,m,0.5,hrs_indoors,7.5
Friday,m,0.5,age_years,1
Carbonel,m,0,hrs_indoors,17.5
Carbonel,m,0,age_years,8
Fonzie,m,0.5,hrs_indoors,12.5
Fonzie,m,0.5,age_years,10
Jessy,f,3,hrs_indoors,12.5
Jessy,f,3,age_years,11
Barney,m,0.5,hrs_indoors,12.5
Barney,m,0.5,age_years,11
Sparky,f,0.5,hrs_indoors,7.5
Sparky,f,0.5,age_years,8
Indie,m,0.5,hrs_indoors,17.5
Indie,m,0.5,age_years,3
Whiskey,m,0.5,hrs_indoors,17.5
Whiskey,m,0.5,age_years,5
Rusty,m,3,hrs_indoors,17.5
Rusty,m,3,age_years,4
Mifty,f,12.5,hrs_indoors,7.5
Mifty,f,12.5,age_years,2
Wilfred,m,0,hrs_indoors,7.5
Wilfred,m,0,age_years,6
Johnny,m,12.5,hrs_indoors,7.5
Johnny,m,12.5,age_years,NA
Poppet,f,3,hrs_indoors,22.5
Poppet,f,3,age_years,10
Pussy,m,3,hrs_indoors,2.5
Pussy,m,3,age_years,2
Henry,m,0,hrs_indoors,7.5
Henry,m,0,age_years,8
Winnie,m,3,hrs_indoors,12.5
Winnie,m,3,age_years,12
Tom,f,12.5,hrs_indoors,12.5
Tom,f,12.5,age_years,3
Lady T,m,3,hrs_indoors,12.5
Lady T,m,3,age_years,2
Bella,f,7.5,hrs_indoors,12.5
Bella,f,7.5,age_years,3
Ladyboyhawke,f,3,hrs_indoors,17.5
Ladyboyhawke,f,3,age_years,5
Charlie2,m,3,hrs_indoors,12.5
Charlie2,m,3,age_years,9
Max,m,3,hrs_indoors,12.5
Max,m,3,age_years,5
Ebby,f,3,hrs_indoors,17.5
Ebby,f,3,age_years,10
Bear,m,3,hrs_indoors,12.5
Bear,m,3,age_years,6
Bumbles,f,3,hrs_indoors,12.5
Bumbles,f,3,age_years,12
Chloe,f,3,hrs_indoors,17.5
Chloe,f,3,age_years,7
Merlin,m,7.5,hrs_indoors,12.5
Merlin,m,7.5,age_years,5
Felix,m,3,hrs_indoors,22.5
Felix,m,3,age_years,4
Beanie,m,0,hrs_indoors,17.5
Beanie,m,0,age_years,4
Sid,f,17.5,hrs_indoors,7.5
Sid,f,17.5,age_years,4
Binky,m,0,hrs_indoors,17.5
Binky,m,0,age_years,4
Amber,f,3,hrs_indoors,7.5
Amber,f,3,age_years,4
Ernie,m,3,hrs_indoors,7.5
Ernie,m,3,age_years,1
Bits,f,3,hrs_indoors,2.5
Bits,f,3,age_years,13
Maxwell,m,17.5,hrs_indoors,7.5
Maxwell,m,17.5,age_years,6
Lightening Bugg,m,0,hrs_indoors,12.5
Lightening Bugg,m,0,age_years,0
Bobs,f,3,hrs_indoors,7.5
Bobs,f,3,age_years,13
Carrots,m,17.5,hrs_indoors,7.5
Carrots,m,17.5,age_years,3
Smudge,m,3,hrs_indoors,7.5
Smudge,m,3,age_years,3
Magic,f,3,hrs_indoors,12.5
Magic,f,3,age_years,3
Spike,m,7.5,hrs_indoors,12.5
Spike,m,7.5,age_years,0
Dory,f,0.5,hrs_indoors,7.5
Dory,f,0.5,age_years,1
Tigger,m,0.5,hrs_indoors,7.5
Tigger,m,0.5,age_years,3
Jago2,m,0,hrs_indoors,12.5
Jago2,m,0,age_years,2
Frank,m,3,hrs_indoors,7.5
Frank,m,3,age_years,4
Skye,m,0.5,hrs_indoors,12.5
Skye,m,0.5,age_years,5
Jezebel,f,0,hrs_indoors,17.5
Jezebel,f,0,age_years,14
Boots,f,0,hrs_indoors,22.5
Boots,f,0,age_years,16
Smudge_2,m,0.5,hrs_indoors,17.5
Smudge_2,m,0.5,age_years,7
Frank_2,m,0,hrs_indoors,7.5
Frank_2,m,0,age_years,7
Freya,f,0.5,hrs_indoors,12.5
Freya,f,0.5,age_years,4
Spot,m,17.5,hrs_indoors,7.5
Spot,m,17.5,age_years,2
Tipsy,f,0,hrs_indoors,17.5
Tipsy,f,0,age_years,0
Flash,f,3,hrs_indoors,17.5
Flash,f,3,age_years,3
Gracie,f,0,hrs_indoors,22.5
Gracie,f,0,age_years,2
Teddy,f,0.5,hrs_indoors,12.5
Teddy,f,0.5,age_years,9
Marley,m,0.5,hrs_indoors,7.5
Marley,m,0.5,age_years,1
Guinness,m,3,hrs_indoors,17.5
Guinness,m,3,age_years,7
Reggie,f,7.5,hrs_indoors,12.5
Reggie,f,7.5,age_years,8
Jessie,f,3,hrs_indoors,7.5
Jessie,f,3,age_years,5
Roger,m,0.5,hrs_indoors,17.5
Roger,m,0.5,age_years,6
Gracie_2,f,0.5,hrs_indoors,17.5
Gracie_2,f,0.5,age_years,6
Dexter,m,3,hrs_indoors,12.5
Dexter,m,3,age_years,3
Tilly,f,3,hrs_indoors,12.5
Tilly,f,3,age_years,5
Balu,f,3,hrs_indoors,2.5
Balu,f,3,age_years,7
Missy,f,3,hrs_indoors,7.5
Missy,f,3,age_years,3
Dexter2,m,0,hrs_indoors,2.5
Dexter2,m,0,age_years,1
Fairclough,m,0,hrs_indoors,17.5
Fairclough,m,0,age_years,4
Keegan,m,3,hrs_indoors,7.5
Keegan,m,3,age_years,3
Maggie,f,0,hrs_indoors,22.5
Maggie,f,0,age_years,3
Lily,f,0,hrs_indoors,22.5
Lily,f,0,age_years,9
Abba,f,3,hrs_indoors,7.5
Abba,f,3,age_years,3
Worf,f,7.5,hrs_indoors,2.5
Worf,f,7.5,age_years,8
Pants,m,0,hrs_indoors,12.5
Pants,m,0,age_years,8
Jim,f,3,hrs_indoors,12.5
Jim,f,3,age_years,8
Lucy,f,0.5,hrs_indoors,17.5
Lucy,f,0.5,age_years,5
Macaulay Mccat,f,17.5,hrs_indoors,2.5
Macaulay Mccat,f,17.5,age_years,6
Neil,m,0,hrs_indoors,7.5
Neil,m,0,age_years,7
Siberia,m,3,hrs_indoors,7.5
Siberia,m,3,age_years,8
Moscow,m,0.5,hrs_indoors,12.5
Moscow,m,0.5,age_years,1
Neva,f,0,hrs_indoors,17.5
Neva,f,0,age_years,4
Alfie,m,3,hrs_indoors,7.5
Alfie,m,3,age_years,3
Casper,m,0.5,hrs_indoors,12.5
Casper,m,0.5,age_years,6
Ginge,m,17.5,hrs_indoors,2.5
Ginge,m,17.5,age_years,3
Jasper,m,12.5,hrs_indoors,7.5
Jasper,m,12.5,age_years,2
Charlie3,m,7.5,hrs_indoors,12.5
Charlie3,m,7.5,age_years,5
Millie,f,7.5,hrs_indoors,12.5
Millie,f,7.5,age_years,3
SmokeyLongnose,f,0.5,hrs_indoors,7.5
SmokeyLongnose,f,0.5,age_years,9
CJ,m,0.5,hrs_indoors,22.5
CJ,m,0.5,age_years,5
Seb,m,3,hrs_indoors,12.5
Seb,m,3,age_years,3
